Judul Lagu,Penyanyi,Genre,Lirik Lagu,Tahun Rilis,Label Emosi
Waktu dan perhatian,rimar,Pop,"Ada sebuah rasa
Yang bersembunyi di hati
Ku pendam sendiri selama ini
Cerita tentang kita
Yang sudah sekian lama ku pendam
Semoga kau mengerti
Dengarkan ku bernyanyi
Jika kau bilang cinta saja sudah cukup
Itu salah
Jika kau pikir sayang juga sudah cukup
Kau keliru
Coba sempatkan tuk lihat isi hatiku
Apakah diriku bahagia selama ini
Bisakah kau sedikit peka
Ku butuh waktu dan perhatian
Semakin ku pendam
Batinku semakin tersiksa
Semoga lewat lagu ini
Kau bisa mengerti oh
Jika kau bilang cinta saja sudah cukup
Itu salah
Jika kau pikir sayang juga sudah cukup
Kau keliru
Coba sempatkan tuk lihat isi hatiku
Apakah diriku bahagia selama ini
Bisakah kau sedikit peka
Ku butuh waktu dan perhatian
Memang selama ini
Kau t'lah berikan segalanya bagiku
Tapi kau tak mengerti
Yang kubutuhkan hanya kau disampingku oh
Jika kau bilang cinta saja sudah cukup
Itu salah oh
Jika kau pikir sayang juga sudah cukup
Kau keliru
Coba sempatkan tuk lihat isi hatiku
Apakah diriku bahagia selama ini
Bisakah kau sedikit peka
Ku butuh waktu dan perhatian
Bisakah kau sedikit peka
Ku butuh waktu dan perhatian",2021,sedih
tak sedalam ini,maulana ardiansyah,Pop,"Jangan kau obati luka ini
Biarkan mengalir darah tak henti
Ku tahu kau hanya membuat lukaku semakin perih
Kini kau datang, esok kau pergi
Seakan engkau tak punya hati
Terlalu aku mencintaimu
Rupanya kesempatan bagimu
Maafku untukmu berulang kali, tapi tiada arti
Kini denganku, esok dengannya
Aku tak sanggup lagi
Sakitnya, perihnya
Melihat kau bercumbu dengannya
Kau tega menyiksa
Aku yang selalu setia
Andai rasa di hati tak sedalam ini
Dari dahulu engkau tlah ku tinggalkan
Cinta yang ku miliki tak bisa kau bandingkan
Rugilah engkau kerna memilih dia
Terlalu aku mencintaimu
Rupanya kesempatan bagimu
Maafku untukmu berulang kali, tapi tiada arti
Kini denganku, esok dengannya
Aku tak sanggup lagi
Sakitnya, perihnya
Melihat kau bercumbu dengannya
Kau tega menyiksa
Aku yang selalu setia
Andai rasa di hati tak sedalam ini
Dari dahulu engkau tlah ku tinggalkan
Cinta yang ku miliki tak bisa kau bandingkan
Rugilah engkau kerna memilih dia",2022,marah
jangan takut gendut,dhyo haw,Pop,"Jangan takut terlihat gendut
Buang pikiran itu kelaut
Harus kau tau
Cinta itu tak akan memandang sesuatu
Biar waktu yang akan sadarkanmu
'Tuk mengerti semua
Tak perlu lagi kau cemas
Kau khawatirkan tentang berat badan
Hal yang membuat kau tertekan
Kau makan hanya di dalam angan
Kau rela menahan lapar
Tak perduli berapa besar ukuran pakaian kau kenakan
Tak perduli berapa banyak makanan yang harus aku bayar
Yang terpenting kau tak kan tertekan
Di mataku kau gadis impian
Yang tak akan tergantikan
Jangan takut terlihat gendut
Buang pikiran itu kelaut
Harus kau tau
Cinta itu tak akan memandang sesuatu
Apapun itu postur tubuh
Atau apapun dimataku
Kau tetap gadis impian selalu
Tak perduli berapa besar ukuran pakaian kau kenakan
Tak perduli berapa banyak makanan yang harus aku bayar
Yang terpenting kau tak kan tertekan
Di mataku kau gadis impian
Yang tak akan tergantikan
Jangan takut terlihat gendut
Buang pikiran itu kelaut
Harus kau tau
Cinta itu tak akan memandang sesuatu
Apapun itu postur tubuh
Atau apapun di mataku
Kau tetap gadis impian selalu
Jangan takut terlihat gendut
Buang pikiran itu ke laut
Harus kau tau
Cinta itu tak akan memandang sesuatu
Jangan takut terlihat gendut
Buang pikiran itu ke laut
Harus kau tau
Cinta itu tak akan memandang sesuatu
Apapun itu postur tubuh
Atau apapun di mataku
Kau tetap gadis impian selalu
Wo-ooo ye-ah
Kau tetap gadis impian selalu",2016,senang
ldr,raisa,Pop,"Hallo
Aku kangen
Ku teringat dalam lamunan
Rasa sentuhan jemari tanganmu
Ku teringat walau telah pudar
Suara tawamu, sungguh ku rindu
Tanpamu langit tak berbintang
Tanpamu hampa yang ku rasa
Seandainya jarak tiada berarti
Akan ku arungi ruang dan waktu dalam sekejap saja
Seandainya sang waktu dapat mengerti
Takkan ada rindu yang terus mengganggu
Kau akan kembali bersamaku
Ku teringat walau telah pudar
Suara tawamu, sungguh ku rindu
Tanpamu langit tak berbintang
Tanpamu hampa yang ku rasa
Seandainya jarak tiada berarti
Akan ku arungi ruang dan waktu dalam sekejap saja
Seandainya sang waktu dapat mengerti
Takkan ada rindu yang terus mengganggu
Kau akan kembali bersamaku
Terbit dan tenggelamnya mentari
Membawamu lebih dekat
Denganmu langitku berbintang
Denganmu sempurna ku rasa
Seandainya jarak tiada berarti
Akan ku arungi ruang dan waktu dalam sekejap saja
Seandainya sang waktu dapat mengerti
Takkan ada rindu yang terus mengganggu
Kau akan kembali bersamaku
(Seandainya jarak tiada berarti)
Akan ku arungi ruang dan waktu dalam sekejap saja
Seandainya sang waktu dapat mengerti
Takkan ada rindu yang terus mengganggu
Kau akan kembali bersamaku",2013,sedih
melukis bayangmu,adera,Pop,"Ku melintas pada satu masa
Ketika ku menemukan cinta
Saat itu kehadiranmu
Memberi arti bagi hidupku
Meskipun bila saat ini
Kita sudah tak bersama lagi
Ada satu yang ku rindu
Kehangatan cinta dalam pelukanmu
Oh biarkan aku melukiskan bayangmu
Karena semua mungkin akan sirna
Bagai rembulan sebelum fajar tiba
Kau selalu ada walau tersimpan
Di relung hati terdalam
Oh biarkan aku melukiskan bayangmu
Karena semua mungkin akan sirna
Bagai rembulan sebelum fajar tiba
Kau selalu ada walau tersimpan
Di relung hati terdalam
Karena semua mungkin akan sirna
Bagai rembulan sebelum fajar tiba
Kau selalu ada walau tersimpan
Selalu ku simpan
Di relung hati terdalam",2011,sedih
suasana rumah,raim laode,Pop,"Aku terjaga
Di malam Jakarta
Aku merasa
Terlampau jauh dari pelukmu
Kau tinggal sendiri
Ayahku telah pergi
Bersama dengan Tuhan
Ku kirim sebuah doa
Untukmu dalam sujudku
Kurasa aku terlampau jauh
Berada di dalam pelukan yang salah
Kurasa status kan bahagiakan aku
Ternyata tak ada yang lebih berharga
Suasana rumah
Kau tinggal sendiri
Ayahku telah pergi
Bersama dengan Tuhan
Ku kirim sebuah doa
Untukmu dalam sujudku
Kurasa aku terlampau jauh
Berada di dalam pelukan yang salah
Kurasa status kan bahagiakan aku
Ternyata tak ada yang lebih berharga
Suasana rumah
Perhatian dan belaianmu aku rindu
Runtuhkan egoku jauh darimu
Sungguh ku ingin pulang
Kurasa aku terlampau jauh
Berada di dalam pelukan yang salah
Kurasa status kan bahagiakan aku
Ternyata tak ada yang lebih berharga
Suasana rumah",2019,sedih
cintamu bukan untukku,pasto,Pop,"Aku kira perbedaan yang menyatukan kita
Setelah sekian lama kini semuanya sirna
Apakah yang terbaik cinta harus berakhir?
Ini semua karenamu, terserah apa maumu
Aku masih bisa berdiri dan menatap matahari
Meski tak lagi tempatku di hatimu
Tak perlu kumengejarmu karena kau takkan kembali
Cinta kini tak untukku
Cintamu bukan untukku
Aku kira perbedaan yang menyatukan kita
Setelah sekian lama kini semuanya sirna
Apakah yang terbaik cinta harus berakhir?
Ini semua karenamu, terserah apa maumu
Aku masih bisa berdiri dan menatap matahari
Meski tak lagi tempatku di hatimu, ooh
Tak perlu kumengejarmu karena kau takkan kembali
Cinta kini tak untukku
Cintamu bukan untukku
Hoo-ho-ooh
Bukankah dulu begitu besar cintamu?
Entah apa yang terjadi di hatimu (di hatimu)
Oh, di hatimu (di hatimu)
Di hatimu, uuh
Aku masih bisa berdiri dan menatap matahari
Meski tak lagi tempatku di hatimu, ooh
Tak perlu kumengejarmu karena kau takkan kembali
Cinta kini tak untukku
Cintamu bukan untukku
Aku masih bisa berdiri dan menatap matahari
Meski tak lagi tempatku di hatimu, ooh
Tak perlu kumengejarmu karena kau takkan kembali
Cinta kini tak untukku (bukan untukku)
Cintamu bukan untukku
Cintamu bukan untukku",2020,sedih
tafsir cinta,panji sakti,Pop,"Hm hm
Selalu aku jatuh cinta
Saat aku pejamkan mata
Seketika ringkih cahaya
Menekuni retakkan hati
Aku cintai kesakitan ini
Sambil menunggu cahaya itu
Bertegur sapa dalam dada
Jangan kau ambil tangisan ini
Jika hanya ini yang kau bagi
Jangan keringkan air mataku
Jika dengan-Nya kubisa membacamu
Jangan kau ambil tangisan ini
Jika hanya ini yang kau bagi
Jangan keringkan air mataku
Jika dengan-Nya kubisa menatapmu
Jangan kau ambil tangisan ini
Jika hanya ini yang kau bagi
Jangan keringkan air mataku
Jika dengan-Nya kubisa bersamamu
Aku bisa bersamamu
Aku bisa bersamamu
Aku bisa bersamamu
Aku bisa bersamamu
Selalu aku jatuh cinta",2020,sedih
menjadi dia,tiara andini,Pop,"Aku ingat waktu kamu bilang
Ku harus jadi seperti dia
Aku hanya aku
Yang sederhana
Tapi cintaku
Boleh kau adu
Kumengerti tapi tak bisa
Kuingin cinta apa adanya
Jika harus menjadi dia
Lebih baik pergi walau aku yang terluka
Saat matahari terbenam
Cintaku takkan pernah tenggelam
Engkau masih menjajahku
Di setiap langkahku
Namun adakah
Kau benar untukku
Ku mengerti tapi tak bisa
Ku ingin cinta apa adanya
Jika harus menjadi dia
Lebih baik pergi walau aku yang terluka
Oh
Adakah cara lain tuk bahagia
Selamanya denganmu
Kumengerti tapi tak bisa
Kuingin cinta apa adanya
Jika harus menjadi dia
Lebih baik pergi walau aku yang terluka
Tapi tak bisa
Kuingin cinta apa adanya
Jika harus menjadi dia
Lebih baik pergi walau aku yang terluka
Lebih baik pergi walau hatiku terluka",2021,sedih
hati tak bertuan,rossa,Pop,"Oh, semudah itu engkau pergi
Meninggalkanku tenggelam dalam sepi
Teganya dirimu sentuhku dengan cintamu
Secepat itu, dan kini kau berlalu
Ku hilang kar'namu
Aku tersesat kar'namu
Hancur sudah semua karenamu
Di manakah engkau kini?
Aku berselimut sepi
Menangis, memanggil namamu
Ke mana harus kucari
Saat rindu membunuhku?
Jangan jadikan hati ini
Hati tak bertuan
Ho-oh-oh
Oh, senandung lirih cintaku
Jatuh berderai, sakit terasa pilu
Teganya dirimu sentuh aku dengan cintamu
Secepat itu, dan kini kau berlalu
Di manakah engkau kini?
Aku berselimut sepi
Menangis, memanggil namamu
Ke mana harus kucari
Saat rindu membunuhku?
Jangan jadikan hati ini
Hati tak bertuan, ho-oh-oh
Hu-uh-uh
Di manakah engkau kini?
Aku berselimut sepi
Menangis, memanggil namamu
Ke mana harus kucari
Saat rindu membunuhku?
Jangan jadikan hati ini
Jangan jadikan hati ini tak bertuan",2014,sedih
kata mereka ini berlebihan,bernadya,Pop,"Ku tak pernah ikat rambutku lagi semenjak kaubilang
Rambutku indah bila terurai panjang
Baju hitamku tak pernah kusentuh lagi sejak hari itu
Kaubilang, ""Warna gelap membosankan""
Kubaca sampai tuntas semua buku yang paling kausuka
Mungkin suatu saat kauanggapku cerdas
Tak kuhiraukan kata mereka, ""Ini berlebihan""
Untukmu, apa pun akan kulakukan
Ingin sempurna di matamu
Hanya itu yang aku mau
Namun, tampaknya sempurna tak cukup
Bagimu, hm-mm
11.000 kilometer kutempuh sendirian
Bawa pelukku yang ternyata tak kaurindukan
36.000 kaki di atas laut kutahan
Kau tahu benar ku takut ketinggian
Ingin sempurna di matamu
Hanya itu yang aku mau
Namun, tampaknya sempurna tak cukup
Bila ternyata aku bukan yang kauperlu
Kubatalkan setiap janji
Hanya kar'na takut tiba-tiba kau butuh aku di sisimu
Ingin sempurna di matamu
Hanya itu yang aku mau
Namun, tampaknya sempurna tak cukup
Bagimu, hu-uh
Ingin sempurna di matamu
Ingin kaulihat aku lebih jauh
Ingin kautahu
Tiada yang sayangimu lebih dari aku",2024,sedih
tanpa aku,panji sakti,Pop,"Demi jiwaku yang ada dalam genggaman-Mu
Bawa aku menuju jalan-jalan ke arah-Mu
Demi kekeringan yang melanda kampung halamanku
Beri aku benih yang tumbuh di jari manis-Mu
Bantu aku mencintai jalan pulang
Demi bertemu dengan-Mu, Lumbung Keabadian
Bantu aku merindukan-Mu
Tanpa apa, tanpa aku, hanya Engkau
Demi nafasku yang ada dalam pusaran-Mu
Bawa aku menuju tebing pendakianku
Demi syahdu, teduh, dan sedihnya tatapan-Mu
Beri aku curahan yang membukukan rindu
Bantu aku mencintai jalan pulang
Demi bertemu dengan-Mu, Lumbung Keabadian
Bantu aku merindukan-Mu
Tanpa apa, tanpa aku, hanya Engkau, oh
Bantu aku mencintai jalan pulang
Demi bertemu dengan-Mu, Lumbung Keabadian
Bantu aku merindukan-Mu
Tanpa apa, tanpa aku, hanya Engkau, oh
Bantu aku mencintai jalan pulang
Demi bertemu dengan-Mu, Lumbung Keabadian
Bantu aku merindukan-Mu
Tanpa apa, tanpa aku, hanya Engkau
Tanpa apa, tanpa aku, hanya Engkau
Tanpa apa, tanpa aku
Hanya Engkau",2022,tenang
satu tuju,"mahalini, rizky febian",Pop,"Kisah lelah yang sama
Tak ingin mengenal kata cinta
Namun cinta yang sederhana membuka hati kita
Dipertemukan radar semesta tuk bersama
Kamu yakinkan kita selamanya
Percaya tak kan ada air mata oh
Berdua kan tunjukan pada dunia
Arungi waktu dengan satu tuju
Walau amin kita tak sama ha
Namun cinta yang sederhana membuka hati kita
Dipertemukan radar semesta tuk bersama ho
Kamu yakinkan kita selamanya
Percaya tak kan ada air mata
Berdua tunjukan pada dunia
Arungi waktu dengan satu tuju
Walau amin kita tak sama
Kan kutunjukan semua satukan cinta kita ha
Kita bersama Tuhan tolonglah
Takdirkan kita tetap berdua
Satukan kita berdua
Kamu yakinkan kita selamanya
Percaya tak kan ada air mata
Berdua kan tunjukan pada dunia
Arungi waktu dengan satu tuju
Walau amin tak sama
Walau amin tak sama
Kita pada akhirnya sama
Hu",2022,senang
sampai menutup mata,mahalini,Pop,"Embun di pagi buta
Menebarkan bau basah
Detik demi detik kuhitung
Inikah saat ku pergi?
Oh, Tuhan, ku cinta dia
Berikanlah aku hidup
Takkan kusakiti dia
Hukum aku bila terjadi
Aku tak mudah untuk mencintai
Aku tak mudah mengaku ku cinta
Aku tak mudah mengatakan
Aku jatuh cinta
Senandungku hanya untuk cinta
Tirakatku hanya untuk engkau
Tiada dusta, sumpah, ku cinta
Sampai ku menutup mata
Ha-ah-ah
Ha-ah
Oh, Tuhan, ku cinta dia
Berikanlah aku hidup
Takkan kusakiti dia
Hukum aku bila terjadi
(Hukum aku bila terjadi)
Oh-wo-oh
Na-ah-wo-oh-oh
Ah-ah-ah
Ho-oh-oh
Aku tak mudah untuk mencintai
Aku tak mudah mengaku ku cinta
Aku tak mudah mengatakan
Aku jatuh cinta
Senandungku hanya untuk cinta
Tirakatku hanya untuk engkau
Tiada dusta, sumpah, ku cinta
Sampai ku menutup mata
Tiada dusta, sumpah, ku cinta sampai
Ku menutup mata
Tiada dusta, sumpah, ku cinta
Ha-ah, sampai ku menutup mata",2024,senang
cemburu,raim laode,Pop,"Mataku sakit
Melihat kau bersamanya
Perasaan ini tak terpadamkan
Namun selalu saja kau seperti itu
Tak pernah menganggap perasaanku
Kau tahu betapa ku mencintaimu
Kau tahu berapa lama mengejarmu
Namun selalu saja kau seperti itu
Tak pernah menganggap apa yang ku lakukan
Dengarkan ini
Semua bodoh hanya
Untuk menyatakan bahwa
Aku cemburu melihat kau bersamanya
Aku cemburu tanganmu digenggam dia
Tapi ku tak tahu mengapa aku cemburu
Kau bukan milikku kau bukan milikku
Kau tahu betapa ku mencintaimu
Kau tahu berapa lama mengejarmu
Namun selalu saja kau seperti itu
Tak pernah menganggap apa yang ku lakukan
Aku cemburu melihat kau bersamanya
Aku cemburu tanganmu digenggam dia
Tapi ku tak tahu mengapa aku cemburu
Kau bukan milikku kau bukan milikku
Oh aku cemburu melihat kau bersamanya
Aku cemburu tanganmu digenggam dia
Tapi ku tak tahu mengapa aku cemburu
Kau bukan milikku kau bukan milikku
Dan pernah hati coba melupakan dirimu
Tapi kau terlalu indah untuk aku lupakan
Hati selalu berharap engkau kan jadi milikku
Menjadi milikku ku genggam tanganmu
Tapi kau bukan milikku
Kau bukan milikku",2018,marah
demi hati,yovie & nuno,Pop,"Hari demi hari dan juga malam
Dari malam aku bernapas lalu
Mengingat semua tentangmu
Saat berdua hatikupun tergetar
Saat kau senyum hatikupun berdebar
Ternyata bukan milikku
Berulang kali kau titip salam untuknya
Ku tak rela tuk menyampaikannya
Taukah kamu taukah dirimu
Betapa diriku menginginkan dirimu
Pedih hatiku saat kusadari
Mencintamu yang cinta pada dia
Berharap kau segera melupakannya
Berharap kau tak lagi suka padanya
Tuhan tolong ubah hatinya
Berulang kali kau titip salam untuknya
Ku tak rela tuk menyampaikannya
Taukah kamu taukah dirimu
Betapa diriku menginginkan dirimu
Pedih hatiku saat kusadari
Mencintamu yang cinta pada dia
Salahkah bila kumenunggu
Demi hati yang mencintaimu
Taukah kamu taukah dirimu
Betapa diriku menginginkan dirimu
Pedih hatiku saat kusadari
Mencintamu yang cinta pada dia
Pedih hatiku saat kusadari
Mencintamu yang cinta pada dia
Mencintamu yang cinta pada dia",2019,sedih
mendekat menjauh,coldiac,Pop,"Gemuruh nan riuh
Irama bersahutan
Ia mendekat-menjauh
Merah sudah langit
Yang terang tergantikan
Terbakar, perlahan tenggelam
Oh, menyatulah, semua
Agar aku bisa
Merelakan segala
Yang sementara
Tersadar batinku
Batas waktu t'lah tiba
Semua 'kan pergi pada saatnya
Oh, menyatulah, semua
Agar aku bisa
Merelakan segala
Yang sementara
Oh, hempaskanlah rasa
Biar saja dia
Sempurnakan segera
Kepergiannya
Sudah, habis sudah
Setidaknya kuterima
Datangnya dan perginya",2023,marah
sedang apa dan dimana,Sammy simorangkir,Pop,"Dulu selalu ada waktu untuk kita
Kini ku sendiri
Dulu kata cinta tak habis tercipta
Kini tiada lagi (lagi)
Sedang apa dan di mana dirimu yang dulu ku cinta
Ku tak tahu tak lagi tahu seperti waktu dulu
Apakah mungkin bila kini ku ingin kembali
Menjalani janji hati kita
Sedang apa
Sedang apa dan di mana dirimu yang dulu ku cinta
Ku tak tahu tak lagi tahu seperti waktu dulu
Apakah mungkin bila kini ku ingin kembali
Menjalani menjalani menjalani janji hati kita",2012,sedih
pemeran utama,raisa,Pop,"Ya aku mengerti betapa sulit untuk kembali
Dan mempercayai penipu ini sekali lagi
Pemeran utama hati
Pemicu detak jantung ini
Baru kini kusadari
Setelah berlayar pergi
Itu kamu
Ya aku wanita
Yang seharusnya lebih perasa
Tapi malah aku mencabik
Lukai kau yang baik
Dan buat hatimu sakit
Meski malu untuk akui
Aku mau
Kau kembali
Pemeran utama hati
Pemicu detak jantung ini
Baru kini ku sadari
Setelah berlayar pergi
Pemicu detak jantung ini
Baru kini ku sadari
Setelah berlayar pergi itu kamu",2013,sedih
percaya padaku,ungu,Pop,"Oh-oh-oh, oh-oh-oh
Uh-uh-uh, hm
Aku tak tahu apa yang kurasakan
Dalam hatiku saat pertama kali
Lihat dirimu, melihatmu
S'luruh tubuhku terpaku dan membisu
Detak jantungku berdebar tak menentu
Sepertinya aku tak ingin berlalu
Berikan cintamu juga sayangmu
Percaya padaku, ku 'kan menjagamu
Hingga akhir waktu menjemputku
Kuberikan cintaku juga sayangku
Percaya padaku, ku 'kan menjagamu
Hingga akhir waktu menjemputku
Saat ku tahu kau akan pergi jauh
Izinkan aku 'tuk s'lalu menantimu
Untuk katakan, ""Ku ingin dirimu"" (ku ingin dirimu), hu-uh-uh
Agar kau tahu betapa ku terlalu mencintaimu
Aku akan menunggu
Hingga dirimu kembali untukku, wo-ho-oh-oh
Berikan cintamu juga sayangmu
Percaya padaku, ku 'kan menjagamu
Hingga akhir waktu menjemputku
Kuberikan cintaku juga sayangku
Percaya padaku, ku 'kan menjagamu
Hingga akhir waktu menjemputku, wo-ho-oh-oh, ah-ah
Tolonglah aku bagaimana diriku ungkapkan itu
Rasa yang membelenggu dalam hatiku
Ku cinta padamu, wo-ho-oh-oh
Berikan cintamu juga sayangmu
Percaya padaku, ku 'kan menjagamu
Hingga akhir waktu menjemputku, ho-oh
Kuberikan cintaku juga sayangku
Percaya padaku, ku 'kan menjagamu
Hingga akhir waktu menjemputku, wo-ho-oh
Berikan cintamu juga sayangmu
Percaya padaku, ku 'kan menjagamu
Hingga akhir waktu menjemputku",2010,senang
dirimu satu,ungu,Pop,"I will always love you kekasihku
Dalam hidupku hanya dirimu satu
I will always need you cintaku
Selamanya takkan pernah terganti
Ku mau menjadi yang terakhir untukmu
Ku mau menjadi mimpi indahmu
Cintai aku dengan hatimu
Seperti aku mencintaimu
Sayangi aku dengan kasihmu
Seperti aku menyayangimu
I will be the last for you
And you will be the last for me
I will always love you kekasihku
Dalam hidupku hanya dirimu satu
Ku mau menjadi yang terakhir untukmu
Ku mau menjadi mimpi indahmu
Cintai aku dengan hatimu
Seperti aku mencintaimu
Sayangi aku dengan kasihmu
Seperti aku menyayangimu
I will be the last for you
And you will be the last for me
I will be the last for you
And you will be the last for me",2010,senang
dia atau diriku,ungu,Pop,"Sungguh tak mungkin
Dalam kisah ini
Kita kan bersatu
Bila tak pernah ada perasaan
Cinta seutuhnya
Kini akhirnya
Kau harus memilih
Dia atau diriku
Yang pantas mendapatkan
Pantas menjadi kekasihmu
Sampai kapankah kita
Akan bersama bila tak pernah ada
Perasaan cinta antara kita
Perasaan saling menyayangi
Sampai kapankah kita
Akan bersama bila kau hanya bisa
Mencintaiku separuh hatimu
Separuh kau mencintainya
Sungguh tak mungkin
Sungguh tak bisa
Kita kan bersama
Bila kau masih membagi cinta
Sampai kapankah kita
Akan bersama bila tak pernah ada
Perasaan cinta antara kita
Perasaan saling menyayangi
Sampai kapankah kita
Akan bersama bila kau hanya bisa
Mencintaiku separuh hatimu
Separuh kau mencintainya",2010,sedih
oh baby,cinta laura,Pop,"Kau bikin pusing tujuh keliling
Buat aku mabuk kepayang
Gayamu cool dan sexy
Mentok aku kepada kamu, jadi semakin aku cinta
Kau sihir aku yang sedang kosong
Di saat aku butuh cinta
Mantra-mantra dahsyatmu
Menarik aku yang sendiri memang lagi putus cinta
Katakan, katakan kau sungguh-sungguh (hey, yeay)
Hanya ada aku di dalam hatimu (ooh-ooh-ooh)
Katakan, katakan kau cinta aku
Untuk selamanya kau jadi milikku
I don't wanna lose you
Yes, I wanna hold you
I don't wanna make you
Make you sad and make you cry
I don't wanna lose you
Yes, I wanna hold you
I don't wanna make you
Make you sad and make you cry
Oh, baby, baby, baby (baby, baby)
Oh, baby, baby, baby (ooh-whoa-whoa-whoa-oh)
Oh, baby, baby, baby (my baby)
Oh, baby, baby, baby (baby, baby, ooh, yeah)
Kau (kau) sihir aku yang sedang kosong
Di saat aku butuh cinta
Mantra-mantra dahsyatmu
Menarik aku yang sendiri memang lagi putus cinta
Katakan, katakan kau sungguh-sungguh (sungguh, oh)
Hanya ada aku di dalam hatimu (ooh-ooh-ooh)
Katakan, katakan kau cinta aku (cinta aku)
Untuk selamanya kau jadi milikku
I don't wanna lose you
Yes, I wanna hold you (hold you)
I don't wanna make you
Make you sad and make you cry
I don't wanna lose you (lose you)
Yes, I wanna hold you (hold, yeah)
I don't wanna make you
Make you sad and make you cry
Oh, baby, baby, baby (baby, baby, baby)
Oh, baby, baby, baby (hey)
Oh, baby, baby, baby (baby, baby, baby)
Oh, baby, baby, baby (ooh)
Katakan, katakan kau sungguh-sungguh
Hanya ada aku di dalam hatimu
Katakan, katakan kau cinta aku
Untuk selamanya kau jadi milikku
Milikku
I don't wanna lose you
Yes, I wanna hold you (hold you)
I don't wanna make you
Make you sad and make you cry (you cry)
I don't wanna lose you
Yes, I wanna hold you (yeah, hey)
I don't wanna make you
Make you sad and make you cry
I don't wanna lose you
Yes, I wanna hold you (hold you)
I don't wanna make you
Make you sad and make you cry
I don't wanna lose you (lose you)
Yes, I wanna hold you (hold, yeah)
I don't wanna make you
Make you sad and make you cry
Oh, baby, baby, baby (oh, baby)
Oh, baby, baby, baby (baby)
Oh, baby, baby, baby (oh, baby, baby)
Oh, baby, baby, baby (baby, baby)",2010,senang
mencintaimu sampai mati,utopia,Pop,"Dalam sepi, engkau datang
Beriku kekuatan 'tuk bertahan
Kau percaya aku ada
Kau yang aku inginkan selamanya
Kau adalah hatiku
Kau belahan jiwaku
Seperti itu ku mencintamu sampai mati
Hu-uh, hu-uh-uh-uh
Hu-uh, hu-uh-uh
Di hidupku yang tak sempurna
Kau adalah hal terindah yang kupunya
Kau adalah hatiku (hatiku)
Kau belahan jiwaku (jiwaku)
Seperti itu ku mencintamu sampai mati
Kau adalah hatiku
Kau belahan jiwaku (jiwaku)
Seperti itu ku mencintamu sampai mati
Kau adalah hatiku (kau adalah hatiku)
Kau belahan jiwaku (jiwaku)
Seperti itu ku mencintamu sampai mati
Seperti itu ku mencintamu sampai mati",2010,tenang
mantan terindah,kahitna,Pop,"Mengapa engkau waktu itu putuskan cintaku?
Dan saat ini engkau selalu ingin bertemu
Dan mengulang jalin cinta
Mau dikatakan apa lagi?
Kita tak akan pernah satu
Engkau di sana, aku di sini
Meski hatiku memilihmu
Andai 'ku bisa, ingin aku memelukmu lagi
Oh, di hati ini hanya engkau mantan terindah
Yang selalu 'ku rindukan
Mau dikatakan apa lagi?
Kita tak akan pernah satu
Engkau di sana, aku di sini
Meski hatiku memilihmu
Engkau meminta padaku
Untuk mengatakan bila 'ku berubah
Jangan pernah kau ragukan
Engkau 'kan selalu di langkahku, oh
Mau dikatakan apa lagi?
Kita tak akan pernah satu
Engkau di sana, aku di sini
Meski hatiku memilihmu
Engkau di sana, aku di sini
Meski hatiku memilihmu
Yang telah kau buat sungguhlah indah
Buat diriku susah lupa",2010,sedih
merindu lagi,yovie & nuno,Pop,"Sejak saat pertama melihat senyumannya
Jantung berdebar-debar, inikah pertanda?
Namun, ternyata salah, harapanku pun musnah
Sejak aku melihat kau s'lalu dengannya
Tuhan, tolong, aku ingin dirinya
Rindu padanya, memikirkannya
Namun, mengapa saat jatuh cinta
Sayang, sayang, dia ada yang punya?
Mungkin ku harus pergi untuk melupakannya
Dalam hati berkata takkan sanggup pergi, wo-wo-wo
Tuhan, tolong, aku ingin dirinya
Rindu padanya, memikirkannya
Namun, mengapa saat jatuh cinta
Sayang, sayang, dia ada yang punya?
T'lah kucoba menghapus bayang-bayang indah
Tetapi selalu aku merindu lagi, wo-wo-wo-oh-oh (wo)
Oh, mengapa ku tak bisa?
Ku tak bisa, ku tak bisa
Tuhan, tolong, aku ingin dirinya
Rindu padanya, memikirkannya
Namun, mengapa saat jatuh cinta
Sayang, sayang, dia ada yang punya?
Tuhan, tolong, tolong, aku
Jatuh cinta pada kekasih orang
Ingin lupa, ku tak bisa
Sayang, sayang, dia ada yang punya
Tuhan, tolong, aku ingin dirinya
Rindu padanya, memikirkannya
Namun, mengapa saat jatuh cinta
Sayang, sayang, dia ada yang punya?
Sayang, sayang, dia ada yang punya
Sayang, sayang, dia ada yang punya
Wo-wo",2010,sedih
